SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS,geometry,index_right,NAME_NORM
1999277N20266,1999,North Atlantic,UNNAMED,1999-10-06 12:00:00,20.4,-96.4,30.0,-1,POINT (-96.4 20.4),95,UNNAMED_1999_10
1980197N15133,1980,Western Pacific,UNNAMED,1980-07-18 18:00:00,21.1,112.6,30.0,-1,POINT (112.6 21.1),112,UNNAMED_1980_07
2003207N29280,2003,North Atlantic,UNNAMED,2003-07-26 00:00:00,30.7,-80.8,30.0,-1,POINT (-80.8 30.7),95,UNNAMED_2003_07
2007213N12115,2007,Western Pacific,UNNAMED,2007-08-05 06:00:00,14.5,109.6,30.0,-1,POINT (109.6 14.5),112,UNNAMED_2007_08
2003098N03159,2003,Western Pacific,KUJIRA,2003-04-25 12:00:00,34.2,134.0,30.0,-1,POINT (134 34.2),66,KUJIRA_2003_04
2012287N15297,2012,North Atlantic,RAFAEL,2012-10-26 03:00:00,40.5,-9.8,30.0,-4,POINT (-9.8 40.5),112,RAFAEL_2012_10
1980076N06148,1980,Western Pacific,UNNAMED,1980-03-23 09:00:00,11.7,126.3,30.0,-1,POINT (126.3 11.7),49,UNNAMED_1980_03
2023321N15278,2023,North Atlantic,UNNAMED,2023-11-18 00:00:00,19.2,-77.2,30.0,-3,POINT (-77.2 19.2),53,UNNAMED_2023_11
1998036S13135,1998,South Indian,CINDY:VICTOR,1998-02-08 06:00:00,-13.8,125.8,30.0,-1,POINT (125.8 -13.8),21,CINDY:VICTOR_1998_02
1989228N29127,1989,Western Pacific,UNNAMED,1989-08-19 03:00:00,27.0,121.5,30.0,-1,POINT (121.5 27),112,UNNAMED_1989_08
2025230N20107,2025,Western Pacific,UNNAMED,2025-08-18 12:00:00,20.1,107.3,29.0,-1,POINT (107.3 20.1),112,UNNAMED_2025_08
2020353N06129,2020,Western Pacific,KROVANH,2020-12-24 15:00:00,8.3,101.1,28.0,-1,POINT (101.1 8.3),112,KROVANH_2020_12
2019126S05129,2019,South Indian,LILI,2019-05-10 21:00:00,-9.1,127.8,28.0,-1,POINT (127.8 -9.1),26,LILI_2019_05
1993309N06072,1993,North Indian,UNNAMED,1993-11-07 15:00:00,7.1,77.2,28.0,-1,POINT (77.2 7.1),112,UNNAMED_1993_11
1981169N20268,1981,North Atlantic,UNNAMED,1981-06-18 15:00:00,21.1,-96.5,28.0,-1,POINT (-96.5 21.1),95,UNNAMED_1981_06
2013204N11340,2013,North Atlantic,DORIAN,2013-08-02 21:00:00,27.9,-79.4,28.0,-1,POINT (-79.4 27.9),95,DORIAN_2013_08
2000253N28267,2000,North Atlantic,UNNAMED,2000-09-09 03:00:00,28.9,-93.6,28.0,-1,POINT (-93.6 28.9),95,UNNAMED_2000_09
2022058S17163,2022,South Pacific,EVA,2022-03-01 03:00:00,-22.6,167.4,28.0,-1,POINT (167.4 -22.6),14,EVA_2022_03
1981255N12286,1981,North Atlantic,UNNAMED,1981-09-14 03:00:00,12.9,-82.8,28.0,-1,POINT (-82.8 12.9),95,UNNAMED_1981_09
2022167N11269,2022,Eastern Pacific,CELIA,2022-06-18 09:00:00,12.6,-89.5,28.0,-1,POINT (-89.5 12.6),95,CELIA_2022_06
2017321N07124,2017,Western Pacific,KIROGI,2017-11-17 09:00:00,10.2,118.1,28.0,-1,POINT (118.1 10.2),47,KIROGI_2017_11
1991233N22147,1991,Western Pacific,UNNAMED,1991-08-28 21:00:00,32.8,128.6,28.0,-1,POINT (128.6 32.8),71,UNNAMED_1991_08
1991210N11253,1991,Eastern Pacific,FEFA,1991-08-07 21:00:00,18.9,-154.5,28.0,-1,POINT (-154.5 18.9),56,FEFA_1991_08
1989269N14267,1989,Eastern Pacific,UNNAMED,1989-09-25 21:00:00,14.4,-93.5,28.0,-1,POINT (-93.5 14.4),95,UNNAMED_1989_09
1983237N25128,1983,Western Pacific,UNNAMED,1983-08-27 03:00:00,34.2,127.1,28.0,-1,POINT (127.1 34.2),112,UNNAMED_1983_08
2013339N09084,2013,North Indian,MADI,2013-12-12 09:00:00,10.9,80.8,28.0,-1,POINT (80.8 10.9),112,MADI_2013_12
1986245N18274,1986,North Atlantic,UNNAMED,1986-09-03 21:00:00,21.5,-96.6,28.0,-1,POINT (-96.6 21.5),95,UNNAMED_1986_09
1986216N24267,1986,North Atlantic,UNNAMED,1986-08-05 09:00:00,27.0,-96.5,28.0,-1,POINT (-96.5 27),95,UNNAMED_1986_08
2008224N24122,2008,Western Pacific,UNNAMED,2008-08-14 09:00:00,33.6,127.2,28.0,-1,POINT (127.2 33.6),112,UNNAMED_2008_08
1985255N12300,1985,North Atlantic,UNNAMED,1985-09-11 15:00:00,11.8,-60.8,28.0,-1,POINT (-60.8 11.8),45,UNNAMED_1985_09
1984348N35300,1984,North Atlantic,LILI,1984-12-24 09:00:00,19.6,-68.5,28.0,-1,POINT (-68.5 19.6),54,LILI_1984_12
1996069S21166,1996,South Pacific,ZAKA,1996-03-09 09:00:00,-21.3,167.4,28.0,-1,POINT (167.4 -21.3),14,ZAKA_1996_03
1984164N28285,1984,North Atlantic,UNNAMED,1984-06-13 12:00:00,29.8,-80.3,25.0,-1,POINT (-80.3 29.8),95,UNNAMED_1984_06
2014080N08128,2014,Western Pacific,UNNAMED,2014-03-22 00:00:00,9.3,126.9,25.0,-1,POINT (126.9 9.3),43,UNNAMED_2014_03
1984267N18120,1984,Western Pacific,LYNN,1984-09-27 00:00:00,15.4,109.7,25.0,-1,POINT (109.7 15.4),112,LYNN_1984_09
1984314S08081,1985,South Indian,UNNAMED,1984-11-16 21:00:00,-18.7,49.7,25.0,-1,POINT (49.7 -18.7),20,UNNAMED_1984_11
1984329N27281,1984,North Atlantic,UNNAMED,1984-11-24 00:00:00,26.7,-77.7,25.0,-1,POINT (-77.7 26.7),64,UNNAMED_1984_11
2008338N06092,2008,North Indian,UNNAMED,2008-12-07 06:00:00,8.1,82.6,25.0,-1,POINT (82.6 8.1),44,UNNAMED_2008_12
1985017S15146,1985,South Pacific,ODETTE,1985-01-16 18:00:00,-14.7,146.2,25.0,-1,POINT (146.2 -14.7),21,ODETTE_1985_01
2014209N16134,2014,Western Pacific,NAKRI,2014-08-03 12:00:00,35.5,125.6,25.0,-1,POINT (125.6 35.5),112,NAKRI_2014_08
2008289N15277,2008,North Atlantic,UNNAMED,2008-10-15 18:00:00,15.6,-85.0,25.0,-1,POINT (-85 15.6),95,UNNAMED_2008_10
2008290S05071,2009,South Indian,ASMA,2008-10-23 12:00:00,-11.3,49.0,25.0,-1,POINT (49 -11.3),20,ASMA_2008_10
2008293N09060,2008,North Indian,UNNAMED,2008-10-23 12:00:00,14.1,50.2,25.0,-1,POINT (50.2 14.1),112,UNNAMED_2008_10
1985097S09076,1985,South Indian,HELISAONINA,1985-04-18 12:00:00,-15.4,51.2,25.0,-1,POINT (51.2 -15.4),20,HELISAONINA_1985_04
2009215N10242,2009,Eastern Pacific,FELICIA,2009-08-12 00:00:00,20.7,-154.7,25.0,-3,POINT (-154.7 20.7),56,FELICIA_2009_08
1985222N32280,1985,North Atlantic,CLAUDETTE,1985-08-09 18:00:00,31.5,-80.5,25.0,-2,POINT (-80.5 31.5),95,CLAUDETTE_1985_08
1986011S12130,1986,South Indian,UNNAMED,1986-01-11 21:00:00,-12.7,129.5,25.0,-1,POINT (129.5 -12.7),21,UNNAMED_1986_01
2009245N17303,2009,North Atlantic,ERIKA,2009-09-04 06:00:00,17.0,-66.5,25.0,-3,POINT (-66.5 17),52,ERIKA_2009_09
2024231N24126,2024,Western Pacific,JONGDARI,2024-08-20 12:00:00,34.2,125.6,25.0,-1,POINT (125.6 34.2),112,JONGDARI_2024_08
1987220N34283,1987,North Atlantic,ARLENE,1987-08-10 18:00:00,25.0,-78.0,25.0,-1,POINT (-78 25),62,ARLENE_1987_08
1983281N12256,1983,Eastern Pacific,RAYMOND,1983-10-20 03:00:00,20.9,-155.9,25.0,-1,POINT (-155.9 20.9),56,RAYMOND_1983_10
2024195N13114,2024,Western Pacific,UNNAMED,2024-07-15 00:00:00,16.3,109.2,25.0,-1,POINT (109.2 16.3),112,UNNAMED_2024_07
2009271N15257,2009,Eastern Pacific,OLAF,2009-10-04 03:00:00,24.0,-112.3,25.0,-3,POINT (-112.3 24),95,OLAF_2009_10
2025149N12256,2025,Eastern Pacific,ALVIN,2025-06-01 03:00:00,22.1,-109.6,25.0,-3,POINT (-109.6 22.1),95,ALVIN_2025_06
1987353S08177,1988,South Pacific,UNNAMED,1987-12-22 09:00:00,-15.1,180.1,25.0,-1,POINT (180.1 -15.1),16,UNNAMED_1987_12
1987358S10070,1988,South Indian,BENANDRO,1988-01-01 06:00:00,-15.4,51.4,25.0,-1,POINT (51.4 -15.4),20,BENANDRO_1988_01
2025174N23146,2025,Western Pacific,SEPAT,2025-06-25 15:00:00,34.1,140.0,25.0,-1,POINT (140 34.1),71,SEPAT_2025_06
2025176N18113,2025,Western Pacific,UNNAMED,2025-06-25 15:00:00,19.3,111.8,25.0,-1,POINT (111.8 19.3),55,UNNAMED_2025_06
1983198N18255,1983,Eastern Pacific,FLOSSIE,1983-07-17 00:00:00,18.3,-104.9,25.0,-1,POINT (-104.9 18.3),95,FLOSSIE_1983_07
2006264N13115,2006,Western Pacific,UNNAMED,2006-09-24 18:00:00,17.2,108.4,25.0,-1,POINT (108.4 17.2),112,UNNAMED_2006_09
2015328N11260,2015,Eastern Pacific,SANDRA,2015-11-29 06:00:00,23.5,-107.9,25.0,-3,POINT (-107.9 23.5),95,SANDRA_2015_11
2006198N37291,2006,North Atlantic,UNNAMED,2006-07-18 18:00:00,47.1,-55.8,25.0,-3,POINT (-55.8 47.1),77,UNNAMED_2006_07
1988089S17048,1988,South Indian,UNNAMED,1988-03-28 18:00:00,-16.7,48.1,25.0,-1,POINT (48.1 -16.7),20,UNNAMED_1988_03
1988160N14074,1988,North Indian,UNNAMED,1988-06-08 12:00:00,15.8,72.7,25.0,-1,POINT (72.7 15.8),112,UNNAMED_1988_06
1988153N20275,1988,North Atlantic,UNNAMED,1988-05-31 18:00:00,21.0,-84.0,25.0,-1,POINT (-84 21),61,UNNAMED_1988_05
2025194N31124,2025,Western Pacific,UNNAMED,2025-07-14 00:00:00,32.7,130.8,25.0,-1,POINT (130.8 32.7),71,UNNAMED_2025_07
